ticker,fy,filed,ni,equity,cfo,assets,assets_cur,liab_cur,ltd,revenue,gross,shares
AAL,2011,2012-02-15,-1468000000.0,-2935000000.0,930000000.0,25088000000.0,6838000000.0,8780000000.0,8756000000.0,,,294000000.0
AAL,2012,2013-02-20,-471000000.0,-3489000000.0,1241000000.0,23848000000.0,6757000000.0,8630000000.0,6702000000.0,,,333000000.0
AAL,2013,2014-02-28,-1979000000.0,-3945000000.0,743000000.0,23510000000.0,7072000000.0,9011000000.0,,,,124985000.0
AAL,2014,2015-02-25,-1876000000.0,-7111000000.0,1285000000.0,42278000000.0,14323000000.0,13806000000.0,,,,249490000.0
AAL,2015,2016-02-24,-1834000000.0,-7987000000.0,675000000.0,43225000000.0,11750000000.0,13404000000.0,,,,280213000.0
AAL,2016,2017-02-22,2882000000.0,-2731000000.0,3080000000.0,48415000000.0,9985000000.0,13605000000.0,,,,734016000.0
AAL,2017,2018-02-21,7610000000.0,2021000000.0,6249000000.0,51274000000.0,10324000000.0,13872000000.0,,,,687355000.0
AAL,2018,2019-02-25,2584000000.0,5635000000.0,6524000000.0,52785000000.0,9146000000.0,15358000000.0,,40142000000.0,,556099000.0
AAL,2019,2020-02-19,1282000000.0,-284000000.0,4744000000.0,60580000000.0,8637000000.0,18096000000.0,,42622000000.0,,491692000.0
AAL,2020,2021-02-17,1412000000.0,-780000000.0,3533000000.0,59995000000.0,8206000000.0,18311000000.0,,44541000000.0,,465660000.0
AAL,2021,2022-02-22,1686000000.0,-169000000.0,3815000000.0,62008000000.0,11095000000.0,16569000000.0,,45768000000.0,,444269000.0
AAL,2022,2023-02-22,-8885000000.0,-118000000.0,-6543000000.0,66467000000.0,17336000000.0,19006000000.0,,17337000000.0,,483888000.0
AAL,2023,2024-02-21,-1993000000.0,-6867000000.0,704000000.0,64716000000.0,15269000000.0,21496000000.0,,29882000000.0,,644015000.0
AAL,2024,2025-02-19,127000000.0,-7340000000.0,2173000000.0,63058000000.0,13572000000.0,22062000000.0,,48971000000.0,,655122000.0
AAL,2025,2026-02-18,822000000.0,-5799000000.0,3803000000.0,61783000000.0,13154000000.0,24295000000.0,,52788000000.0,,719669000.0
AAPL,2009,2009-10-27,3496000000.0,9984000000.0,5470000000.0,39572000000.0,32311000000.0,14092000000.0,,,8154000000.0,889292000.0
AAPL,2010,2010-10-27,6119000000.0,14531000000.0,9596000000.0,36171000000.0,31555000000.0,11506000000.0,,,13197000000.0,902139000.0
AAPL,2011,2011-10-26,8235000000.0,22297000000.0,10159000000.0,47501000000.0,41678000000.0,20722000000.0,,,17222000000.0,907005000.0
AAPL,2012,2012-10-31,14013000000.0,31640000000.0,18595000000.0,116371000000.0,44988000000.0,27970000000.0,,,25684000000.0,924712000.0
AAPL,2013,2013-10-30,25922000000.0,47791000000.0,37529000000.0,176064000000.0,57653000000.0,38542000000.0,,,43818000000.0,936645000.0
AAPL,2014,2014-10-27,41733000000.0,76615000000.0,,207000000000.0,73286000000.0,43658000000.0,,,68662000000.0,6617483000.0
AAPL,2015,2015-10-28,37037000000.0,118210000000.0,,231839000000.0,68531000000.0,63448000000.0,28987000000.0,,64304000000.0,6521634000.0
AAPL,2016,2016-10-26,39510000000.0,123549000000.0,,290345000000.0,89378000000.0,80610000000.0,53329000000.0,,70537000000.0,6122663000.0
AAPL,2017,2017-11-03,53394000000.0,111547000000.0,81266000000.0,321686000000.0,106869000000.0,79006000000.0,75427000000.0,,93626000000.0,5793069000.0
AAPL,2018,2018-11-05,45687000000.0,119355000000.0,66231000000.0,375319000000.0,128645000000.0,100814000000.0,97207000000.0,215639000000.0,84263000000.0,5500281000.0
AAPL,2019,2019-10-31,48351000000.0,128249000000.0,64225000000.0,365725000000.0,131339000000.0,115929000000.0,93735000000.0,,88186000000.0,5251692000.0
AAPL,2020,2020-10-30,59531000000.0,134047000000.0,77434000000.0,338516000000.0,162819000000.0,105718000000.0,91807000000.0,,101839000000.0,20000435000.0
AAPL,2021,2021-10-29,55256000000.0,107147000000.0,69391000000.0,323888000000.0,143713000000.0,105392000000.0,98667000000.0,,98392000000.0,18595651000.0
AAPL,2022,2022-10-28,57411000000.0,90488000000.0,80674000000.0,351002000000.0,134836000000.0,125481000000.0,109106000000.0,,104956000000.0,17528214000.0
AAPL,2023,2023-11-03,94680000000.0,65339000000.0,104038000000.0,352755000000.0,135405000000.0,153982000000.0,98959000000.0,,152836000000.0,16864919000.0
AAPL,2024,2024-11-01,99803000000.0,63090000000.0,122151000000.0,352583000000.0,143566000000.0,145308000000.0,95281000000.0,,170782000000.0,16325819000.0
AAPL,2025,2025-10-31,96995000000.0,50672000000.0,110543000000.0,364980000000.0,152987000000.0,176392000000.0,85750000000.0,,169148000000.0,15812547000.0
ABBV,2016,2017-02-17,1774000000.0,4492000000.0,,53050000000.0,16314000000.0,10894000000.0,,,,1610000000.0
ABBV,2017,2018-02-16,5144000000.0,1742000000.0,,66099000000.0,16187000000.0,9781000000.0,,,,1637000000.0
ABBV,2018,2019-02-27,5953000000.0,3945000000.0,,70786000000.0,21223000000.0,16641000000.0,,25638000000.0,,1631000000.0
ABBV,2019,2020-02-21,5309000000.0,4636000000.0,9960000000.0,59352000000.0,16945000000.0,17239000000.0,67233000000.0,28216000000.0,,1603000000.0
ABBV,2020,2021-02-19,5687000000.0,-8172000000.0,13427000000.0,89115000000.0,49519000000.0,15585000000.0,84948000000.0,32753000000.0,,1546000000.0
ABBV,2021,2022-02-18,7882000000.0,13076000000.0,13324000000.0,150565000000.0,24173000000.0,28661000000.0,75962000000.0,33266000000.0,,1484000000.0
ABBV,2022,2023-02-17,4616000000.0,15408000000.0,17588000000.0,146529000000.0,27928000000.0,35194000000.0,63128000000.0,45804000000.0,,1673000000.0
ABBV,2023,2024-02-20,11542000000.0,17254000000.0,22777000000.0,138805000000.0,28463000000.0,29538000000.0,59245000000.0,56197000000.0,,1777000000.0
ABBV,2024,2025-02-14,11836000000.0,10360000000.0,24943000000.0,134711000000.0,33002000000.0,37841000000.0,66841000000.0,58054000000.0,,1778000000.0
ABBV,2025,2026-02-20,4863000000.0,3325000000.0,22839000000.0,135161000000.0,25582000000.0,38749000000.0,64503000000.0,54318000000.0,,1773000000.0
ABNB,2021,2022-02-25,-674339000.0,-517308000.0,222727000.0,10491499000.0,8916386000.0,5139779000.0,1815562000.0,4805239000.0,,260556000.0
ABNB,2022,2023-02-17,-4585000000.0,-808000000.0,-740000000.0,13708000000.0,12386000000.0,6359000000.0,1983000000.0,3378000000.0,,284000000.0
ABNB,2023,2024-02-16,-352000000.0,2901000000.0,2313000000.0,16038000000.0,14861000000.0,7978000000.0,1987000000.0,5992000000.0,,616000000.0
ABNB,2024,2025-02-13,1893000000.0,4775000000.0,3430000000.0,20645000000.0,16509000000.0,9950000000.0,1991000000.0,8399000000.0,,680000000.0
ABNB,2025,2026-02-12,4792000000.0,5560000000.0,3884000000.0,20959000000.0,17180000000.0,10161000000.0,1995000000.0,9917000000.0,,662000000.0
ADI,2011,2011-11-22,247772000.0,3199717000.0,432148000.0,4328831000.0,3478999000.0,643467000.0,,,1118637000.0,292698000.0
ADI,2012,2012-11-27,712084000.0,3795413000.0,991175000.0,5277635000.0,4386348000.0,525005000.0,,,1799422000.0,305861000.0
