run_date,family,config,gross_sharpe,net_sharpe,oos_net_sharpe,walk_forward,family_dsr,family_pbo,benchmark_bh,verdict
2026-07-08,Overnight vs intraday,basket overnight,1.5,-0.24,0.31,1/5,0.0,0.0,1.25,structural-but-uncostable
2026-07-08,Overnight vs intraday,basket intraday,0.44,-0.9,-0.76,0/5,,,,
2026-07-08,Overnight vs intraday,SPY overnight,0.86,-1.44,-1.44,0/5,,,,
2026-07-08,Overnight vs intraday,SPY intraday,0.47,-1.48,-1.34,0/5,,,,
2026-07-08,Overnight vs intraday,basket overnight-minus-intraday,0.57,-1.56,-0.98,0/5,,,,
2026-07-08,Overnight vs intraday,SPY overnight-minus-intraday,0.2,-2.81,-2.62,0/5,,,,
2026-07-08,Options-expiry flow,pre-opex-week,0.74,0.65,1.23,4/5,0.89,0.54,1.25,real-but-loses-to-buy&hold
2026-07-08,Options-expiry flow,post-opex-week,0.74,0.63,0.73,5/5,,,,
2026-07-08,Options-expiry flow,opex-week,0.56,0.45,0.24,4/5,,,,
2026-07-08,Options-expiry flow,post-quadwitch-week,0.04,-0.01,-0.23,3/5,,,,
2026-07-08,Turn-of-month flow,turn-of-month t5,1.13,1.05,1.15,5/5,1.0,0.01,1.25,real-but-loses-to-buy&hold
2026-07-08,Turn-of-month flow,turn-of-month t3,0.79,0.69,0.69,4/5,,,,
2026-07-08,Turn-of-month flow,turn-of-month t1,0.48,0.32,0.85,2/5,,,,
