date,briefs,ledger_calls,ledger_scored,ledger_right,plans_total,plans_triggered,lessons_entries,recorder_namedays,recorder_sessions,kb_rows,discoveries_rows
2026-07-09,4,1,0,0,2,0,2,78,2,9,23
2026-07-10,4,1,0,0,2,0,3,78,2,9,23
2026-07-11,5,1,0,0,2,0,6,78,2,9,87
2026-07-12,7,1,0,0,2,0,12,78,2,9,87
2026-07-13,7,1,0,0,2,0,12,78,2,9,87
2026-07-14,8,1,0,0,2,0,12,78,2,9,87
2026-07-15,8,1,0,0,2,0,12,78,2,9,87
2026-07-16,8,1,0,0,2,0,12,78,2,9,87
2026-07-17,8,1,0,0,2,0,12,78,2,9,87
2026-07-18,8,1,0,0,2,0,12,111,3,9,122
2026-07-19,8,1,0,0,2,0,12,111,3,9,122
2026-07-20,8,1,0,0,2,0,12,111,3,9,122
2026-07-21,8,1,0,0,2,0,12,111,3,9,122
2026-07-22,8,1,0,0,2,0,12,111,3,9,122
2026-07-23,8,1,0,0,2,0,12,111,3,9,122
2026-07-24,8,2,0,0,2,1,12,111,3,9,122
2026-07-25,10,2,0,0,4,1,15,141,4,9,157
2026-07-26,13,2,0,0,6,1,35,141,4,9,192
2026-07-27,13,2,0,0,6,1,35,141,4,9,192
2026-07-28,13,2,0,0,6,1,35,141,4,9,192
2026-07-29,13,2,0,0,6,1,35,141,4,9,192
2026-07-30,13,3,0,0,6,2,35,141,4,9,192
2026-07-31,14,5,2,0,6,3,51,170,5,9,192
2026-08-01,15,5,2,0,6,3,65,199,6,9,262
2026-08-02,17,5,2,0,6,3,77,199,6,9,262
2026-08-03,17,5,2,0,6,3,77,199,6,9,262
2026-08-04,19,5,2,0,10,3,93,227,7,9,262
2026-08-05,20,6,2,0,16,3,99,255,8,9,262
2026-08-06,21,53,3,1,16,4,114,283,9,9,262
2026-08-07,22,56,4,2,16,5,120,311,10,9,262
2026-08-08,23,94,4,2,16,6,138,339,11,9,297
2026-08-09,25,102,4,2,16,6,157,339,11,9,297
2026-08-10,25,102,4,2,16,6,157,339,11,9,297
2026-08-11,26,102,4,2,16,6,183,367,12,9,297
2026-08-12,27,102,4,2,16,6,214,395,13,9,297
2026-08-13,28,103,5,3,16,7,229,423,14,9,297
2026-08-14,29,103,8,4,16,7,246,451,15,9,297
2026-08-15,30,104,12,5,16,8,269,479,16,9,367
2026-08-16,32,111,12,5,16,8,291,479,16,9,367
2026-08-17,32,111,12,5,16,8,291,479,16,9,367
2026-08-18,33,116,14,6,16,8,312,506,17,9,367
2026-08-19,33,116,14,6,16,8,325,533,18,9,367
2026-08-20,34,116,16,8,16,8,344,560,19,9,367
2026-08-21,35,116,18,8,16,8,376,587,20,9,367
2026-08-22,36,116,20,9,16,8,395,614,21,9,437
2026-08-23,38,120,20,9,16,8,421,614,21,9,437
2026-08-24,38,120,20,9,16,8,421,614,21,9,437
2026-08-25,39,120,20,9,16,8,436,638,22,9,437
2026-08-26,40,120,21,9,16,8,442,638,22,9,437
2026-08-27,41,120,21,9,16,8,458,662,23,9,437
2026-08-28,42,120,21,9,16,8,477,686,24,9,437
2026-08-29,43,120,22,9,16,8,496,710,25,9,507
2026-08-30,45,121,22,9,16,8,535,710,25,9,507
2026-08-31,45,121,22,9,16,8,535,710,25,9,507
2026-09-01,46,121,22,9,16,8,552,724,26,9,507
2026-09-02,47,121,26,11,16,8,569,738,27,9,507
2026-09-03,48,121,27,11,16,8,584,752,28,9,507
2026-09-04,49,121,27,11,16,8,607,766,29,9,507
