date,open,close,net,path,path_pct,eff,regime,swing_count,avg_swing,largest_swing,dominance,today_mode,when_to_trade
2026-06-08,1635.73,1641.99,6.26,119.09,7.3,0.053,CHOP,2,59.55,66.91,Move2,OBSERVE / LIGHT,AFTER 7:15 AM
2026-06-09,1752.94,1647.36,-105.58,415.54,23.7,0.254,MIXED,5,83.11,182.89,Move3,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-06-10,1666.45,1641.67,-24.78,275.6,16.5,0.09,CHOP,4,68.9,110.9,Move2,MEAN REVERSION DAY,AFTER 7:15 AM
2026-06-11,1698.04,1882.4,184.36,258.43,15.2,0.713,TREND,3,86.14,165.46,Move3,TREND DAY,6:30-7:15 AM
2026-06-12,1910.65,1979.04,68.39,298.81,15.6,0.229,MIXED,6,49.8,83.73,Move1,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-06-15,2045.18,2108.49,63.31,67.82,3.3,0.934,TREND,1,67.82,67.82,Move1,TREND DAY,6:30-7:15 AM
2026-06-16,2142.14,1992.13,-150.01,250.29,11.7,0.599,TREND,3,83.43,134.07,Move1,TREND DAY,6:30-7:15 AM
2026-06-17,2019.5,1961.18,-58.32,260.64,12.9,0.224,MIXED,3,86.88,101.16,Move2,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-06-18,2110.45,2183.51,73.06,76.0,3.6,0.961,TREND,1,76.0,76.0,Move1,TREND DAY,6:30-7:15 AM
2026-06-22,2254.48,2274.15,19.67,163.35,7.2,0.12,CHOP,2,81.68,91.51,Move1,OBSERVE / LIGHT,AFTER 7:15 AM
2026-06-23,1965.0,1961.07,-3.93,144.6,7.4,0.027,CHOP,2,72.3,79.22,Move2,OBSERVE / LIGHT,AFTER 7:15 AM
2026-06-24,1939.49,1923.83,-15.66,245.98,12.7,0.064,CHOP,5,49.2,101.8,Move2,MEAN REVERSION DAY,AFTER 7:15 AM
2026-06-25,2236.0,2335.0,99.0,447.84,20.0,0.221,MIXED,4,111.96,216.81,Move2,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-06-26,2156.99,2093.25,-63.74,374.82,17.4,0.17,CHOP,6,62.47,94.24,Move2,MEAN REVERSION DAY,AFTER 7:15 AM
2026-06-29,2004.1,2051.29,47.19,323.52,16.1,0.146,CHOP,4,80.88,124.07,Move2,MEAN REVERSION DAY,AFTER 7:15 AM
2026-06-30,2130.98,2272.59,141.61,141.61,6.6,1.0,TREND,1,141.61,141.61,Move1,TREND DAY,6:30-7:15 AM
2026-07-01,2080.0,2035.07,-44.93,199.68,9.6,0.225,MIXED,4,49.92,60.74,Move3,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-07-02,1980.0,1742.78,-237.22,361.93,18.3,0.655,TREND,4,90.48,183.6,Move1,TREND DAY,6:30-7:15 AM
2026-07-06,1787.65,1743.08,-44.57,195.34,10.9,0.228,MIXED,3,65.11,117.5,Move2,OBSERVE / LIGHT,WAIT FOR EXTREMES
2026-07-07,1616.02,1617.7,1.68,342.56,21.2,0.005,CHOP,4,85.64,121.75,Move1,MEAN REVERSION DAY,AFTER 7:15 AM
