strategy,ticker,side,entry_date,entry_px,exit_date,exit_px,net,excess,regime,tags
PANIC_LITE,DASH,1,2026-07-23,169.77,2026-07-27,184.37,0.084,0.08277,calm-down,tech
PANIC_BOUNCE,IOT,1,2026-07-23,31.49,2026-07-27,35.34,0.12026,0.11903,calm-down,tech
PANIC_LITE,IOT,1,2026-07-23,31.49,2026-07-27,35.34,0.12026,0.11903,calm-down,tech
PANIC_BOUNCE,TSLA,1,2026-07-23,319.69,2026-07-27,309.22,-0.03475,-0.03598,calm-down,tech
PANIC_LITE,TSLA,1,2026-07-23,319.69,2026-07-27,309.22,-0.03475,-0.03598,calm-down,tech
PANIC_BOUNCE,SHOP,1,2026-07-23,112.0,2026-07-27,126.88,0.13086,0.12962,calm-down,tech
PANIC_LITE,SHOP,1,2026-07-23,112.0,2026-07-27,126.88,0.13086,0.12962,calm-down,tech
PANIC_LITE,ASTS,1,2026-07-23,59.18,2026-07-27,58.29,-0.01704,-0.01827,calm-down,tech
REVERSAL_3,CRWD,1,2026-07-23,183.42,2026-07-27,180.11,-0.02005,-0.02128,calm-down,tech
REVERSAL_3,PANW,1,2026-07-23,325.63,2026-07-27,317.32,-0.02752,-0.02875,calm-down,tech
REVERSAL_3,ABNB,1,2026-07-23,137.57,2026-07-27,146.86,0.06553,0.0643,calm-down,tech
REVERSAL_3,V,1,2026-07-23,351.6,2026-07-27,362.53,0.02909,0.02785,calm-down,tech
PANIC_BOUNCE,GOOG,1,2026-07-23,318.34,2026-07-27,326.57,0.02385,0.02262,calm-down,tech
PANIC_BOUNCE,MOH,1,2026-07-23,200.29,2026-07-27,199.48,-0.00604,-0.00728,calm-down,tech
REVERSAL_3,OKTA,1,2026-07-23,136.1,2026-07-27,137.43,0.00777,0.00654,calm-down,tech
PANIC_BOUNCE,AAL,1,2026-07-23,13.56,2026-07-27,14.95,0.10051,0.09927,calm-down,tech
PANIC_BOUNCE,MBLY,1,2026-07-23,7.47,2026-07-27,8.01,0.07029,0.06906,calm-down,tech
REVERSAL_3,EBAY,1,2026-07-23,109.32,2026-07-27,113.21,0.03358,0.03235,calm-down,tech
PANIC_BOUNCE,NBIS,1,2026-07-24,187.77,2026-07-28,169.69,-0.09829,-0.1009,calm-down,tech
PANIC_BOUNCE,INOD,1,2026-07-24,55.89,2026-07-28,57.56,0.02788,0.02527,calm-down,tech
PANIC_BOUNCE,INTC,1,2026-07-24,92.32,2026-07-28,86.3,-0.06721,-0.06982,calm-down,tech
PANIC_BOUNCE,TER,1,2026-07-24,349.92,2026-07-28,320.65,-0.08565,-0.08826,calm-down,tech
