date,regime,flipped,nav_base,nav_regime_exit,nav_stop_only,regime_exits,stop_exits,nav_take_profit,tp_exits
2026-08-18,calm-up,0,100.0,100.0,99.9824,,CRWV;BE;NBIS;QBTS;QBTS;CVNA;CVNA;GFS;ARM;SMR;Q;GOOG;LASR;CSCO;AMD;AVGO;OKTA;HPE;GFS;HOOD;RDDT;SNDK,99.9936,CRWD;ANET;HPE;DELL;AXON;WDC;MOG.A;NBIS
2026-08-19,calm-up,0,97.5924,97.5924,97.6448,,CRWD;HPE;AVGO;DELL;JBLU;JBLU;CRWD;NBIS;LRCX;TER;TER;TSEM;WDC;STX;DELL;Q;Q;CGNX;AVGO;NBIS;NBIS;TSEM;TSEM;LPTH;Q;BRK-B;TER;WDC;Q;MOG.A;STX;MPWR;MOH;IONQ;LRCX,97.7141,CRWD;HPE;DELL;MRK
2026-08-20,calm-up,0,95.8861,95.8861,95.9764,,RDDT;GFS;AVAV;RTX;OKTA;ON;CGNX;RDDT;ON;HWM;CRWD;CRWD;MOG.A;MOG.A;RGTI;MOG.A;CRWD,96.0383,MOG.A;CVNA
2026-08-21,calm-up,0,96.1796,96.1796,96.1351,,INTC;KLAC,96.3139,PLTR;RGTI;RGTI
2026-08-24,calm-up,0,93.3755,93.3755,93.6321,,NBIS;LASR;INOD;AMD;ARM;BA;VRT;ARM;MU;TSEM;HWM;KTOS;TSEM;TSEM;CBRS;CBRS;CBRS,93.5694,NMM
2026-08-25,calm-up,0,94.6235,94.6235,94.6652,,,94.77,HOOD;OKLO;OKLO
2026-08-26,calm-up,0,93.5779,93.5779,93.59,,LLY,93.8115,
2026-08-27,calm-up,0,95.3782,95.3782,95.3259,,HEI,95.6043,PANW;PANW
2026-08-28,calm-up,0,92.5393,92.5393,92.6889,,ASML;MRVL;ONDS,92.8002,
2026-08-31,calm-up,0,91.8375,91.8375,92.0273,,PINS;BE;SNPS;LPTH;HWM;AXON,92.0941,
2026-09-01,calm-up,0,89.074,89.074,89.3788,,UNP;CBRS;LRCX;CRWD;CRWD;PANW;XYZ;U;DELL;SHOP;AXON;SNPS;SHOP;DELL;AXON;ONDS;ONDS;LPTH;LPTH;SHOP;LPTH,89.3277,
2026-09-02,calm-up,0,89.4018,89.4018,89.4522,,OKTA;OKTA;IOT;LASR;PLTR;CRWD;CRWD;PANW;PANW;IOT;IOT;PLTR;PANW;IOT,89.6375,CRWD;DELL;DELL;DELL;ASTS;ASTS;DELL
2026-09-03,calm-up,0,90.9781,90.9781,90.6169,,,91.1834,DELL;COIN
2026-09-04,calm-up,0,91.1118,91.1118,90.5168,,PINS,91.3459,SMCI;CBRS
2026-09-08,calm-up,0,90.0835,90.0835,89.4912,,DASH;DASH;DASH;DASH,90.3125,CRWV;BE
2026-09-08,calm-up,0,89.0668,89.0668,88.6118,,,89.162,
2026-09-08,calm-up,0,88.0615,88.0615,87.741,,,88.0262,
2026-09-08,calm-up,0,87.0676,87.0676,86.8788,,,86.9049,
2026-09-08,calm-up,0,86.0944,86.0944,86.0329,,,85.809,
2026-09-08,calm-up,0,85.1321,85.1321,85.1952,,,84.727,
2026-09-08,calm-up,0,84.1806,84.1806,84.3657,,,83.6586,
2026-09-08,calm-up,0,83.2397,83.2397,83.5442,,,82.6037,
2026-09-08,calm-up,0,82.3093,82.3093,82.7307,,,81.5621,
2026-09-08,calm-up,0,81.3893,81.3893,81.9251,,,80.5336,
2026-09-08,calm-up,0,80.4796,80.4796,81.1274,,,79.5181,
2026-09-08,calm-up,0,79.5801,79.5801,80.3353,,DELL;ABNB,78.5154,
2026-09-09,calm-up,0,78.1041,78.1041,78.908,,SHOP;SHOP;SHOP;SHOP;SHOP;VRT,77.0906,
2026-09-09,calm-up,0,76.6617,76.6617,77.6659,,,75.6976,
2026-09-09,calm-up,0,75.246,75.246,76.4434,,,74.3298,
2026-09-09,calm-up,0,73.8564,73.8564,75.2401,,,72.9867,
2026-09-09,calm-up,0,72.4925,72.4925,74.0558,,,71.6679,
