restated_at,scope,strategy,ticker,entry_date,exit_date,field,old_entry_px,new_entry_px,old_exit_px,new_exit_px,old_net,new_net,old_excess,new_excess,reason
2026-08-14 20:02 PT,closed,REVERSAL_3,GFS,2026-07-29,2026-07-29,entry,53.18,47.07,47.07,47.07,-0.11689,-0.002,-0.10386,-0.002,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,REVERSAL_3,HUM,2026-07-29,2026-07-29,entry,381.15,365.41,365.41,365.41,-0.0433,-0.002,-0.03027,-0.002,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,BOLL_SNAP,TSLA,2026-07-29,2026-07-30,entry,309.22,298.32,308.85,308.85,-0.0032,0.0333,-0.00671,0.01653,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,STORM_DIP,QBTS,2026-07-29,2026-08-03,exit,16.18,16.18,16.21,19.98,-0.00015,0.23286,-0.03882,0.19419,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,PANIC_BOUNCE,QBTS,2026-08-04,2026-08-05,entry,16.21,21.83,21.39,21.39,0.31756,-0.02216,0.30156,-0.02016,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,PANIC_LITE,QBTS,2026-08-04,2026-08-05,entry,16.21,21.83,21.39,21.39,0.31756,-0.02216,0.30156,-0.02016,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,DOUBLE_DIP,QBTS,2026-08-06,2026-08-11,exit,19.41,19.41,16.21,20.23,-0.16686,0.04025,-0.16947,0.03764,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,PANIC_BOUNCE,QBTS,2026-08-11,2026-08-13,entry+exit,16.21,20.23,16.21,20.9,-0.002,0.03112,-0.0115,0.02162,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,closed,PANIC_LITE,QBTS,2026-08-11,2026-08-13,entry+exit,16.21,20.23,16.21,20.9,-0.002,0.03112,-0.0115,0.02162,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,open,DOUBLE_DIP,QBTS,2026-08-11,,entry,16.21,20.23,,,0.29473,0.04447,,,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,open,PANIC_BOUNCE,QBTS,2026-08-13,,entry,16.21,20.9,,,0.29473,0.01092,,,stale bar recorded under a later date (DATA-001)
2026-08-14 20:02 PT,open,PANIC_LITE,QBTS,2026-08-13,,entry,16.21,20.9,,,0.29473,0.01092,,,stale bar recorded under a later date (DATA-001)
2026-08-14 20:04 PT,closed,REVERSAL_3,MOH,2026-07-29,2026-07-29,entry,199.48,199.02,199.02,199.02,-0.00431,-0.002,0.00872,-0.002,stale bar recorded under a later date (DATA-001)
2026-08-15 08:12 PT,closed,REVERSAL_3,GFS,2026-07-29,2026-07-29,REVERTED to scored value,47.07,53.18,47.07,47.07,-0.002,-0.11689,-0.002,-0.10386,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,REVERSAL_3,HUM,2026-07-29,2026-07-29,REVERTED to scored value,365.41,381.15,365.41,365.41,-0.002,-0.0433,-0.002,-0.03027,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,BOLL_SNAP,TSLA,2026-07-29,2026-07-30,REVERTED to scored value,298.32,309.22,308.85,308.85,0.0333,-0.0032,0.01653,-0.00671,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,STORM_DIP,QBTS,2026-07-29,2026-08-03,REVERTED to scored value,16.18,16.18,19.98,16.21,0.23286,-0.00015,0.19419,-0.03882,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,PANIC_BOUNCE,QBTS,2026-08-04,2026-08-05,REVERTED to scored value,21.83,16.21,21.39,21.39,-0.02216,0.31756,-0.02016,0.30156,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,PANIC_LITE,QBTS,2026-08-04,2026-08-05,REVERTED to scored value,21.83,16.21,21.39,21.39,-0.02216,0.31756,-0.02016,0.30156,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,DOUBLE_DIP,QBTS,2026-08-06,2026-08-11,REVERTED to scored value,19.41,19.41,20.23,16.21,0.04025,-0.16686,0.03764,-0.16947,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,PANIC_BOUNCE,QBTS,2026-08-11,2026-08-13,REVERTED to scored value,20.23,16.21,20.9,16.21,0.03112,-0.002,0.02162,-0.0115,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,PANIC_LITE,QBTS,2026-08-11,2026-08-13,REVERTED to scored value,20.23,16.21,20.9,16.21,0.03112,-0.002,0.02162,-0.0115,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
2026-08-15 08:12 PT,closed,REVERSAL_3,MOH,2026-07-29,2026-07-29,REVERTED to scored value,199.02,199.48,199.02,199.02,-0.002,-0.00431,-0.002,0.00872,BENCH-002: a closed row keeps the number it was scored with; tape value moved to *_tape columns
