date,nav_base,nav_rot,gap_pct,n_open,n_culled,n_boosted,culled,boosted
2026-08-17,100.0,100.0,0.0,128,16,32,EBAY;TDG;AAL;AMZN;GOOG;AMZN;LASR;CSCO;AVGO;BRK-B;ANET;OKTA;HPE;HOOD;CBRS;CBRS,HPE;CRWV;NBIS;DELL;AXON;WDC;CRWD;ANET;LPTH;IOT;MOG.A;MSFT;BE;NVDA;PLTR;LASR;STX;DELL;PANW;OKTA;GLW;GLW;BA;NFLX;LASR;LASR;ANET;HUM;CGNX;HUM;CRWD;TER
2026-08-18,98.6142,98.6809,0.0667,159,21,39,AMD;ABNB;BA;GM;ORCL;OKTA;RDDT;IOT;MOH;SMR;HON;AAL;AMZN;GOOG;LASR;CSCO;AVGO;BRK-B;OKTA;HPE;HOOD,CRWV;WDC;HPE;NBIS;DELL;ANET;AXON;CRWD;CBRS;MOG.A;IOT;TER;LASR;NVDA;STX;OKTA;MSFT;PLTR;ANET;CGNX;AMAT;AMAT;AMAT;AMAT;AMAT;CRWD;PANW;ASML;MU;HPE;TXN;MCHP;HUM;PCT;DELL;HWM;DELL;HUM;PANW
2026-08-19,95.3227,95.357,0.0343,200,52,50,CGNX;GFS;STX;ANET;CRWV;AVGO;AVGO;MU;MPWR;BE;IONQ;ORCL;META;RDDT;RDDT;HPE;NBIS;NVDA;AVGO;SMCI;ARM;LRCX;GFS;SNDK;DELL;NU;AVAV;AVAV;AAL;SMR;QBTS;QBTS;Q;CVNA;CVNA;JBLU;JBLU;JBLU;JBLU;AMZN;GOOG;LASR;CSCO;AMD;AVGO;BRK-B;OKTA;HPE;HOOD;RDDT;MOH;HON,AXON;HPE;DELL;CRWD;WDC;ANET;MOG.A;NBIS;CRWV;OKTA;HPE;MSFT;NVDA;CRWD;PANW;PLTR;DELL;LLY;NFLX;LLY;LLY;AXON;NKE;NKE;ABNB;HUM;NMM;UNP;NICE;NICE;LASR;V;V;IOT;SCHW;AMAT;AMAT;AMAT;EBAY;JPM;CVS;BRK-B;MOG.A;MCHP;JPM;RTX;BAC;MS;OKTA;OKTA
2026-08-20,93.0063,93.0925,0.0862,190,103,47,TER;ASML;LASR;CSCO;AMAT;MOG.A;CRWD;PANW;CRWD;PANW;ANET;RDDT;RDDT;HPE;HPE;NBIS;NBIS;NBIS;CRWV;CRWV;AMD;AMD;AMD;AVGO;AVGO;SMCI;SMCI;ASML;INTC;INTC;INTC;ON;ON;ON;MPWR;MPWR;MPWR;AMAT;LRCX;KLAC;KLAC;KLAC;TER;TER;GFS;GFS;GFS;TSEM;TSEM;TSEM;WDC;WDC;STX;SNDK;DELL;GLW;HWM;CGNX;CAT;VRT;VRT;VRT;RGTI;LASR;LPTH;CBRS;Q;Q;Q;Q;GS;AMZN;CGNX;GOOG;LASR;CSCO;AMD;AVGO;BRK-B;OKTA;HPE;GFS;STX;HOOD;RDDT;AVGO;MU;MPWR;MOH;IONQ;ORCL;HPE;NVDA;AVGO;ARM;LRCX;GFS;SNDK;DELL;AAL;Q;JBLU;JBLU,AXON;HPE;MRK;DELL;HPE;CRWD;MRVL;MRVL;LLY;PANW;ANET;OKTA;CRWD;LLY;CVNA;DELL;PLTR;SMR;MSFT;NFLX;MOG.A;AXON;CRWV;WDC;NVDA;NKE;ABNB;OKLO;OKLO;MOG.A;KDEF;NICE;NMM;UNP;AMZN;PLTR;IREN;XYZ;INOD;INOD;AAPL;V;V;EBAY;PLTR;PINS;PINS
2026-08-21,91.3851,91.5345,0.1494,186,84,46,MOG.A;NBIS;MS;JPM;RTX;GD;BAC;COST;OKTA;TXN;MOH;BA;BA;AVAV;BE;QBTS;CRWD;CRWD;CRWD;PANW;ON;LLY;BA;HEI;HWM;HWM;MOG.A;MOG.A;MOG.A;PKE;PKE;BE;RGTI;RKLB;GE;WFC;AMZN;CGNX;GOOG;LASR;CSCO;AMD;AVGO;TER;BRK-B;ASML;LASR;OKTA;HPE;STX;HOOD;RDDT;AVGO;MPWR;AMAT;MOH;MOG.A;IONQ;LRCX;GFS;SNDK;RDDT;RDDT;NBIS;NBIS;AMD;AMD;SMCI;SMCI;INTC;ON;ON;KLAC;GFS;TSEM;TSEM;WDC;HWM;CGNX;CAT;VRT;VRT;LPTH;GS,MOG.A;CVNA;MRK;WDC;NFLX;PLTR;LLY;MRVL;LLY;NMM;NVDA;MU;MU;UNP;STX;STX;STX;GM;SNDK;SNDK;V;INOD;HUM;WDC;WDC;VRT;VRT;LRCX;LRCX;LRCX;TSM;TSM;TER;MPWR;MPWR;PINS;OKLO;HUM;HUM;PINS;AMD;AMD;ARM;META;META;MU
2026-08-22,91.6649,91.8971,0.2322,182,54,45,ARM;ARM;CRWV;INTC;INTC;HON;Q;INTC;NOC;GOOG;LASR;CSCO;NBIS;AMD;AVGO;TER;JPM;RTX;GD;BAC;BRK-B;ASML;LASR;OKTA;HPE;STX;RDDT;MPWR;MOH;MOG.A;IONQ;OKTA;LRCX;GFS;SNDK;RDDT;AMD;TXN;INTC;ON;ON;KLAC;WDC;BA;HWM;CGNX;VRT;BE;CRWD;ON;LLY;HWM;MOG.A;BE,MRK;RGTI;RGTI;PLTR;NMM;HOOD;IONQ;LLY;NFLX;GM;INOD;ONDS;ONDS;ONDS;NVDA;GS;V;MS;MS;MU;MU;JBLU;JBLU;ANET;IOT;XYZ;PANW;PANW;PANW;PANW;LRCX;LRCX;AXON;STX;STX;SCHW;MOG.A;MOG.A;KTOS;KTOS;KTOS;SNDK;MOH;TDG;TDG
2026-08-23,91.9455,92.5674,0.6219,182,54,45,GOOG;LASR;CSCO;NBIS;AMD;AVGO;TER;JPM;RTX;GD;BAC;BRK-B;ASML;LASR;OKTA;HPE;STX;RDDT;MPWR;MOH;MOG.A;IONQ;OKTA;LRCX;GFS;SNDK;RDDT;AMD;ARM;ARM;TXN;INTC;ON;ON;KLAC;WDC;BA;HWM;CGNX;VRT;BE;Q;CRWD;CRWV;INTC;INTC;ON;LLY;HWM;MOG.A;BE;HON;INTC;NOC,MRK;RGTI;RGTI;PLTR;NMM;HOOD;IONQ;LLY;NFLX;GM;INOD;ONDS;ONDS;ONDS;NVDA;GS;V;MS;MS;MU;MU;JBLU;JBLU;ANET;IOT;XYZ;PANW;PANW;PANW;PANW;LRCX;LRCX;AXON;STX;STX;SCHW;MOG.A;MOG.A;KTOS;KTOS;KTOS;SNDK;MOH;TDG;TDG
2026-08-24,92.2175,93.4683,1.2508,183,54,45,GOOG;LASR;CSCO;NBIS;AMD;AVGO;TER;JPM;RTX;GD;BAC;BRK-B;ASML;LASR;OKTA;HPE;STX;RDDT;MPWR;MOH;MOG.A;IONQ;OKTA;LRCX;GFS;SNDK;RDDT;AMD;ARM;ARM;TXN;INTC;ON;ON;KLAC;WDC;BA;HWM;CGNX;VRT;BE;Q;CRWD;CRWV;INTC;INTC;ON;LLY;HWM;MOG.A;BE;HON;INTC;NOC,MRK;RGTI;RGTI;PLTR;NMM;HOOD;IONQ;LLY;NFLX;GM;INOD;ONDS;ONDS;ONDS;NVDA;GS;V;MS;MS;MU;MU;JBLU;JBLU;ANET;IOT;XYZ;PANW;PANW;PANW;PANW;LRCX;LRCX;AXON;STX;STX;SCHW;MOG.A;MOG.A;KTOS;KTOS;KTOS;SNDK;MOH;TDG;TDG
2026-08-25,89.5418,90.9459,1.4041,166,71,41,INOD;MRVL;TSEM;STX;GLW;GLW;MU;MPWR;OKTA;OKTA;NVDA;KLAC;GLW;HWM;HWM;HWM;KTOS;PKE;PKE;CGNX;CAT;NBIS;NBIS;MRVL;MRVL;TER;TSEM;TSEM;HWM;PKE;CBRS;CBRS;CBRS;Q;CSCO;NBIS;AMD;AVGO;TER;ASML;LASR;OKTA;HPE;STX;RDDT;MPWR;MOH;MOG.A;IONQ;LRCX;GFS;SNDK;RDDT;AMD;ARM;ARM;TXN;INTC;ON;ON;KLAC;WDC;BA;HWM;CGNX;VRT;BE;Q;CRWD;LLY;HWM,MRK;NMM;PLTR;NFLX;LLY;JBLU;HOOD;IOT;SCHW;V;ABNB;WMT;WMT;HUM;RGTI;KO;BRK-B;BRK-B;TDG;JPM;JPM;AMZN;AMZN;WFC;CVS;BAC;BAC;COST;LRCX;ANET;MOH;BE;JNJ;KDEF;KDEF;KDEF;HEI;UNP;PANW;PANW;PANW
2026-08-26,90.0084,91.1611,1.1527,175,62,43,PANW;PANW;PANW;ONDS;CVX;CBRS;CSCO;NBIS;AMD;AVGO;TER;ASML;LASR;OKTA;HPE;STX;RDDT;MU;MPWR;MOH;MOG.A;IONQ;LRCX;GFS;SNDK;INOD;ARM;ARM;TXN;INTC;ON;ON;MPWR;KLAC;WDC;BA;HWM;CGNX;CAT;VRT;Q;CRWD;TSEM;LLY;HWM;OKTA;OKTA;NVDA;KLAC;HWM;HWM;HWM;KTOS;PKE;PKE;TER;TSEM;TSEM;PKE;CBRS;CBRS;CBRS,MRK;OKLO;OKLO;HOOD;BE;NMM;JBLU;NFLX;BE;SMR;SMCI;SMCI;SMCI;DELL;WDC;WDC;WDC;WDC;WDC;BE;DELL;AMD;HOOD;PLTR;MRVL;MRVL;STX;STX;STX;STX;HUM;CGNX;ANET;MOH;SOFI;INFQ;KDEF;KDEF;KDEF;HPE;NBIS;NBIS;LPTH
