ticker,n_days,avg_eff,pct_trend,pct_chop,pct_mixed,avg_path_pct,avg_range_pct,avg_largest_swing_pct,tradeable_pct,unusual_pct,character
LPTH,21,0.395,42.9,33.3,23.8,8.7,5.3,5.1,38.1,0.0,BALANCED
IREN,21,0.526,61.9,33.3,4.8,8.1,5.4,5.2,23.8,4.8,TRENDY
BE,21,0.49,47.6,14.3,38.1,8.0,5.2,4.8,23.8,0.0,TRENDY
NBIS,21,0.54,52.4,23.8,23.8,7.8,5.1,4.9,23.8,0.0,QUIET
RGTI,21,0.426,47.6,33.3,19.0,7.8,4.6,4.1,19.0,9.5,QUIET
SMCI,21,0.4,38.1,33.3,28.6,7.7,4.4,4.2,23.8,19.0,QUIET
SNDK,21,0.384,42.9,28.6,28.6,7.6,4.6,4.4,23.8,4.8,QUIET
INFQ,21,0.346,38.1,38.1,23.8,7.6,4.6,4.5,19.0,0.0,QUIET
SMR,21,0.498,66.7,23.8,9.5,7.5,5.5,5.2,23.8,0.0,QUIET
CBRS,21,0.492,52.4,33.3,14.3,7.4,4.2,3.9,33.3,0.0,QUIET
IONQ,21,0.403,42.9,28.6,28.6,6.9,3.9,3.6,14.3,4.8,QUIET
SPCX,21,0.439,42.9,14.3,42.9,6.8,4.2,3.9,19.0,9.5,QUIET
CRWV,21,0.551,52.4,23.8,23.8,6.7,4.4,4.2,14.3,4.8,QUIET
STX,21,0.319,33.3,47.6,19.0,6.7,3.8,3.5,9.5,4.8,QUIET
OKLO,21,0.469,47.6,14.3,38.1,6.6,4.3,4.0,14.3,4.8,QUIET
QBTS,21,0.458,42.9,28.6,28.6,6.4,3.9,3.5,9.5,4.8,QUIET
PCT,21,0.446,38.1,42.9,19.0,6.2,4.2,3.7,9.5,9.5,QUIET
INOD,21,0.487,47.6,28.6,23.8,6.1,3.6,3.5,19.0,4.8,QUIET
ARM,21,0.511,52.4,19.0,28.6,6.1,4.5,4.2,9.5,0.0,QUIET
ONDS,21,0.49,47.6,33.3,19.0,6.1,4.0,3.8,9.5,0.0,QUIET
MRVL,21,0.501,47.6,38.1,14.3,6.0,3.9,3.7,14.3,4.8,QUIET
WDC,21,0.322,28.6,28.6,42.9,6.0,3.5,3.3,14.3,0.0,QUIET
ASTS,21,0.495,52.4,28.6,19.0,5.9,3.8,3.6,9.5,0.0,QUIET
MPWR,21,0.376,33.3,47.6,19.0,5.8,3.3,3.1,14.3,19.0,QUIET
CTMX,21,0.505,47.6,9.5,42.9,5.8,3.9,3.6,14.3,14.3,QUIET
AVAV,21,0.574,66.7,19.0,14.3,5.8,4.2,4.0,14.3,14.3,QUIET
SOUN,21,0.501,61.9,19.0,19.0,5.8,3.9,3.4,9.5,14.3,QUIET
COIN,21,0.502,61.9,19.0,19.0,5.6,4.1,3.7,9.5,9.5,QUIET
RKLB,21,0.486,47.6,38.1,14.3,5.6,3.5,3.1,14.3,4.8,QUIET
HPE,21,0.631,71.4,9.5,19.0,5.4,4.1,3.9,4.8,4.8,QUIET
AXON,21,0.591,66.7,19.0,14.3,5.4,4.3,4.1,9.5,19.0,QUIET
OKTA,21,0.494,47.6,19.0,33.3,5.2,3.7,3.5,0.0,4.8,QUIET
TER,21,0.457,38.1,14.3,47.6,5.2,3.3,3.1,9.5,4.8,QUIET
DELL,21,0.601,61.9,23.8,14.3,5.2,3.9,3.7,9.5,4.8,QUIET
